newid,Undergrad School,Master's Degree School
277756,Arizona State University,Georgetown University
138887,Hong Kong University Of Science And Technology,University Of Oxford
43892,Seoul National University,Seoul National University
948565,University Of Chicago,"NA"
14018,Yale University,"NA"
512242,Yonsei University,University of London-London School of Economics & Political Sci
781176,London School of Economics,London School of Economics
904219,University Of Virginia,University of London-London School of Economics & Political Sci
328878,Tsinghua University,University Of Wisconsin-Madison
519707,Nanjing University,Shanghai Jiao Tong University
501226,University Of International Business & Economics,University Of Oxford
274494,University Of Michigan--Ann Arbor,"NA"
54499,Sarah Lawrence College,Columbia University
88872,Grove City College,"NA"
895004,Wittenberg University,"NA"
610791,University Of Tulsa,"NA"
710454,Wuhan University,Iowa State University of Science and Technology
873445,Universidade Catolica Portuguesa,Pont Univ of the Holy Cross
629741,Sharif University Of Technology,Sharif University Of Technology
541031,University Of Sydney,"NA"
654231,Peking University,Renmin University Of China In Beijing
675773,New York University,"NA"
472606,State University Of New York At Stony Brook,Columbia University
15374,Delhi University,Delhi School of Economics
716358,University Of Pennsylvania,"NA"
476904,"University Of California, Los Angeles",Tufts University
688858,Grinnell College,Harvard University
446511,Universidad De Guadalajara,El Colegio De Mexico
188335,Hautes Etudes Commerciales-Liege,Universite Catholique de Louvain
829115,University Of Chicago,"NA"
692009,Nankai University,Tufts University
432600,University Of Virginia,"NA"
122385,University Of Texas At Austin,"NA"
462935,University Of Alabama at Birmingham,University Of Alabama at Birmingham
975559,Universita Commerciale 'luigi Bocconi',Universita Commerciale 'luigi Bocconi'
470488,Lady Shri Ram College For Women,"NA"
294562,University Of Wisconsin-Madison,Washington University in St. Louis
1564,Columbia University,"NA"
321728,Princeton University,"NA"
384475,Middlebury College,"NA"
53296,Instituto Tecnologico Autonomo de Mexico,University Of Chicago
234831,Georgetown University,"NA"
505343,Colby College,"NA"
878201,Mount Holyoke College,"NA"
817935,Wuhan University,Wuhan University
731983,Yazd University,University Of Nebraska At Omaha
392111,University Of Hong Kong,University College London
201198,Harvard University,Harvard University
329533,Stanford University,Stanford University
508529,The Chinese Univ. of Hong Kong,The Chinese Univ. of Hong Kong
813722,Universidad Nacional De Colombia,El Colegio De Mexico
857211,Middlebury College,"NA"
412774,State University - Higher School of Economics,New Economic School
158980,Universita Commerciale 'luigi Bocconi',Universita Commerciale 'luigi Bocconi'
610939,Yale University,"NA"
349719,Morehouse College,"NA"
832161,Covenant University,University Of Southern California
516225,Vilnius Gediminas Technical University,Universite De Neuchatel
364835,Ivan Franko National University of Lviv,Center for Economic Research & Graduate Education-Econ. Inst.
420662,University Of Tehran,Sharif University Of Technology
