newid,Institution of highest degree obtained
66300,"University of California, Los Angeles"
294827,-
865258,Technical University Munich
278037,University of Wisconsin-Madison
648466,Stanford University
743515,-
897398,-
521898,University of Michigan
29,"University of California, Davis"
801516,Texas A&M University
297944,Toulouse School of Economics
85527,Boston University
626868,-
655958,-
98708,Florida State University
26618,Graduate Institute of International and Development Studies
193814,Carnegie Mellon University
620363,"University of California, Davis"
841306,"University of California, Berkeley"
271977,Yale University
820403,Humboldt-Universität zu Berlin
82228,Sharif University of Technology
274056,Yale University
625448,University of Oxford
546575,Harvard University
451599,University of Chicago
260582,University of Oxford
15527,-
200684,-
447652,Penn State University
885441,The University of Texas at Austin
271279,Columbia University in the City of New York
243030,"University of California, Santa Barbara"
185333,-
66695,-
417699,Northwestern University
647625,European University Institute
655031,University of Minnesota-Twin Cities
323116,The University of Texas at Austin
792887,Yale University
220417,Columbia University in the City of New York
586826,-
285425,University of Michigan
413040,"University of California, Irvine"
125487,Ecole polytechnique fédérale de Lausanne
93026,-
150006,American University
804352,University of Wisconsin-Madison
262614,University of Wisconsin-Madison
491981,University of Chicago Booth School of Business
319936,The University of Chicago
485045,The Ohio State University
706150,-
994950,UC San Diego
214884,The London School of Economics and Political Science (LSE)
980134,University of Arizona
74233,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN
636970,-
433327,Yale University
451093,University of Wisconsin-Madison
591661,Stanford University Graduate School of Business
793416,-
509136,Stanford University
646758,-
35863,University of Washington
752087,-
715462,-
984465,-
387335,University of Pennsylvania
929825,University of Wisconsin-Madison
169032,Graduate Institute of International and Development Studies
973453,New York University
826015,-
431772,The Ohio State University
560230,Harvard University Kennedy School of Government
173916,Georgetown University
789568,University of Toronto
858301,-
941241,University of Wisconsin-Madison
195580,New York University
58873,-
973742,-
709900,The Ohio State University
450596,-
538594,-
305167,-
98590,-
701904,-
257527,Yonsei University
698043,Boston University
142283,Massachusetts Institute of Technology - Sloan School of Management
353411,Stanford University Graduate School of Business
39359,University of Southern California
57348,Mayo Clinic School of Medicine
918582,-
971527,-
978758,New York University
728515,Yale University
727853,University of California
149276,-
18097,-
315313,University of Maryland
436045,The London School of Economics and Political Science (LSE)
791845,The London School of Economics and Political Science (LSE)
386011,"University of California, Berkeley"
477926,Georgetown University
814704,Duke University - The Fuqua School of Business
789137,Tsinghua University
311355,-
552512,Yale University
441940,Massachusetts Institute of Technology
256476,The George Washington University
818322,Stanford University
797527,"University of California, Los Angeles"
111179,University of Wisconsin-Madison
19470,University of Chicago
730872,New York University
777826,Seoul National University
416517,Durham University
204544,-
286295,Brigham Young University - Idaho
416992,-
568008,The University of Chicago Booth School of Business
874275,Columbia University in the City of New York
902596,-
775854,Northwestern University
515310,-
603437,University of Houston
911720,-
440910,University of Texas at Austin
149037,Cornell University
523828,Universit of Maryland
822008,-
793512,College of Creative Arts at West Virginia University
452155,Stanford University
123841,Pontifical Catholic University of Rio de Janeiro
699125,"University of California, Berkeley"
893727,-
879398,Harvard Business School
208983,-
4075,University of Colorado
366412,-
926907,Cornell University
548242,Cornell University - Johnson Graduate School of Management
730117,Yale University
81640,London School of Economics and Political Science
980699,Indiana University
385201,Northwestern University
752963,University of Minnesota
429628,Massachusetts Institute of Technology
272557,Boston University Questrom School of Business
401262,University of Maryland
904617,Arizona State University
376581,"University of California, Santa Barbara"
653008,Princeton University
833485,University of Mannheim
499206,-
5298,Yale University
738614,-
224581,Massachusetts Institute of Technology
606110,Duke University - The Fuqua School of Business
680575,-
895741,New York University
128254,University of Florida
899575,-
90719,Massachusetts Institute of Technology
64686,Columbia University in the City of New York
464283,"University of California, Berkeley"
575652,-
580673,Yale University
106263,Osaka University
31215,Columbia University in the City of New York
470323,UC Irvine
34471,-
836820,Arizona State University
953384,"University of California, Berkeley"
675716,University of Washington
716499,-
240185,Princeton University
467389,-
548494,-
945564,The Ohio State University
742687,Princeton University
789665,The London School of Economics and Political Science (LSE)
569753,University of Minnesota-Twin Cities
755750,University of Maryland College Park
419314,-
703001,Northwestern University
972265,Stanford University Graduate School of Business
312467,-
319043,University of Wisconsin-Madison
942164,University of Maryland College Park
244130,"University of California, Davis"
316875,University of Pennsylvania - The Wharton School
717214,-
717711,University of Pennsylvania
576191,Princeton University
929314,Claremont Graduate University
32894,-
435024,"University of California, Berkeley"
896965,The University of Texas at Austin
471489,Stanford University Graduate School of Business
525913,Yale University
837335,-
532010,-
725879,-
316714,University of Hamburg
467240,Johns Hopkins University Advanced Academic Programs
81624,Princeton University
12166,"University of Minnesota, Twin Cities"
5021,Massachusetts Institute of Technology
495294,Princeton University
462447,University of Washington
333909,Clemson University
585932,University of Wisconsin-Madison
434680,Harvard University
545247,Stanford University
1746,The University of Chicago Booth School of Business
552751,Columbia University in the City of New York
253242,University of Minnesota
219989,-
977166,Boston University
420095,-
378005,Harvard University
321798,Stanford University
52357,Catholic University of Sacred Heart
310643,Harris School of Public Policy at the University of Chicago
820805,-
386273,-
58178,Boston College
685744,The University of Chicago Booth School of Business
899019,-
970569,The University of Texas School of Law
492388,-
939468,University of Waterloo
696000,University of Wisconsin-Madison
283827,-
252880,New York University
884098,"University of California, San Diego"
439363,-
268874,University of Zurich
539177,-
606922,-
681982,"University of California, Berkeley"
211345,Harvard University
792525,University of Wisconsin-Madison
689702,Harvard University
845845,Harvard University
818440,The London School of Economics and Political Science (LSE)
227272,The University of Chicago
67568,University of Oxford
276861,-
631240,"Wharton School, University of Pennsylvania"
561873,"University of California, Berkeley, Haas School of Business"
219404,The University of Texas at Austin
839631,-
420148,-
151271,-
347871,Stanford University
530971,-
937201,-
52511,University of Michigan
422382,Carnegie Mellon University
128665,Penn State University
351188,Syracuse University
354340,-
905569,-
390659,Cornell Johnson Graduate School of Management
916047,University of Maryland
60151,Massachusetts Institute of Technology
191998,University of Colorado Boulder
834893,-
55000,-
130931,University of Illinois at Chicago
501240,-
103956,University of Minnesota-Twin Cities
527190,Harris School of Public Policy at the University of Chicago
962394,Yale University
385590,NYU Stern School of Business
654722,University of Pennsylvania
619700,-
911855,Indiana University Bloomington
701825,The University of Texas at Austin
375143,-
643201,-
159830,Massachusetts Institute of Technology
289214,-
840013,-
159983,Northwestern University
922976,New York University School of Law
401894,The Ohio State University
618659,Princeton University
260944,"University of California, Berkeley"
517322,Princeton University
744281,Saint Louis University
252532,Catholic University of Louvain
181697,UCLA
716912,University of Maryland
183480,Harvard University
84985,-
637240,-
880534,Columbia University in the City of New York
143025,-
899341,Harvard University
199030,-
928317,Michigan State University
572612,Harvard University
972485,-
941918,UNC Kenan-Flagler Business School
408617,University of Wisconsin-Madison
684782,Stanford University Graduate School of Business
149266,University of Southern California
60972,-
481345,Lomonosov Moscow State University (MSU)
536932,Cornell University
636452,-
737492,Northwestern University - Kellogg School of Management
47048,European University Institute
771936,Duke University - The Fuqua School of Business
933452,-
837658,"University of California, Berkeley"
300461,London School of Economics and Political Science
40315,-
983502,-
58218,-
989615,Columbia University in the City of New York
724572,New York University
499717,Stanford University Graduate School of Business
485851,-
762113,Stanford University Graduate School of Business
955396,University of Amsterdam
686875,Carnegie Mellon University
135591,Northwestern University - Kellogg School of Management
922148,Vanderbilt University
457782,University of Michigan
67814,-
499852,Harvard University
798940,Harvard University
63085,Harvard University
940692,Cornell University
79263,Boston University
372291,Fundação Getúlio Vargas
172754,New York University - Leonard N. Stern School of Business
679443,University of Minnesota-Twin Cities
998749,The University of Texas at Austin
607528,NYU Stern School of Business
432687,Savitribai Phule Pune University
774671,Cornell University
689836,The Wharton School
898898,Northwestern University
882790,-
427699,-
933909,Cornell University
401882,University of Utah
903335,-
330477,Harvard University
30053,-
538507,Boston College
789170,-
515927,-
712400,American University
962323,-
160605,University of Notre Dame
732624,University of Wisconsin - Madison
456349,Harvard Business School
551113,-
176850,Imperial College London
729011,-
643457,Northwestern University
494006,The George Washington University
606028,-
441149,Massachusetts Institute of Technology (MIT)
779927,-
835923,University of Massachusetts Boston
980446,Stanford University
558109,Emory University
37803,Boston College
669384,University of Minnesota
147446,-
568791,-
257287,Northwestern University
815443,Stanford University
102478,Massachusetts Institute of Technology
460289,-
338351,Massachusetts Institute of Technology
54948,University of Minnesota
642600,Columbia University in the City of New York
134862,-
563374,Massachusetts Institute of Technology
331798,The University of Chicago Booth School of Business
742763,Harvard University
948223,Harvard University
