newid,Institution of highest degree obtained
447652,Penn State University
315313,University of Maryland
941918,UNC Kenan-Flagler Business School
205191,UCL
446429,UC Berkeley School of Information
151042,UCLA Anderson School of Management
890469,David Geffen School of Medicine at UCLA
594477,UNSW
371947,University of Kent
331771,University of Michigan Medical/Graduate School
794676,University of Oxford (Lincoln College)
722201,Queen Mary University of London
970629,Rutgers University–New Brunswick
906236,Pierre and Marie Curie University
680529,Maastricht University School of Business and Economics
363002,University of California Los Angeles (Anderson School)
714206,University of Michigan School of Public Health
357384,UT Health San Antonio
143698,HKUST Business School
