,confidence,orig,name,school
0,high,Arizona State University,Arizona State University,
1,high,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,
2,high,Seoul National University,Seoul National University,
3,high,University Of Chicago,University of Chicago,
4,high,Yale University,Yale University,
5,high,Yonsei University,Yonsei University,
6,google-match,London School of Economics,"London School of Economics and Political Science, University of London",
7,high,University Of Virginia,University of Virginia,
8,high,Tsinghua University,Tsinghua University,
9,high,Nanjing University,Nanjing University,
10,high,University Of International Business & Economics,University of International Business and Economics,
11,high,University Of Michigan--Ann Arbor,University of Michigan,
12,high,Sarah Lawrence College,Sarah Lawrence College,
13,high,Grove City College,Grove City College,
14,high,Wittenberg University,Wittenberg University,
15,high,University Of Tulsa,University of Tulsa,
16,high,Wuhan University,Wuhan University,
17,high,Universidade Catolica Portuguesa,Universidade Catolica Portuguesa,
18,high,Sharif University Of Technology,Sharif University of Technology,
19,high,University Of Sydney,University of Sydney,
20,high,Peking University,Peking University,
21,high,New York University,New York University,
22,high,State University Of New York At Stony Brook,State University of New York at Stony Brook,
23,google-match,Delhi University,University of Delhi,
24,high,University Of Pennsylvania,University of Pennsylvania,
25,high,"University Of California, Los Angeles","University of California, Los Angeles",
26,high,Grinnell College,Grinnell College,
27,high,Universidad De Guadalajara,Universidad de Guadalajara,
28,high,Hautes Etudes Commerciales-Liege,Hautes Etudes Commerciales-Liege,
29,high,Nankai University,Nankai University,
30,high,University Of Texas At Austin,University of Texas,
31,high,University Of Alabama at Birmingham,University of Alabama - Birmingham,
32,same-name,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,
33,not changed,Lady Shri Ram College For Women,Lady Shri Ram College For Women,
34,high,University Of Wisconsin-Madison,University of Wisconsin - Madison,
35,high,Columbia University,Columbia University,
36,high,Princeton University,Princeton University,
37,high,Middlebury College,Middlebury College,
38,google-match,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,
39,high,Georgetown University,Georgetown University,
40,high,Colby College,Colby College,
41,high,Mount Holyoke College,Mount Holyoke College,
42,high,Yazd University,Yazd University,
43,high,University Of Hong Kong,University of Hong Kong,
44,high,Harvard University,Harvard University,
45,high,Stanford University,Stanford University,
46,same-name,The Chinese Univ. of Hong Kong,Chinese University of Hong Kong,
47,high,Universidad Nacional De Colombia,Universidad Nacional de Colombia,
48,high,State University - Higher School of Economics,Higher School of Economics,
49,high,Morehouse College,Morehouse College,
50,high,Covenant University,Covenant University,
51,high,Vilnius Gediminas Technical University,Vilnius Gediminas Technical University,
