,confidence,orig,name,school
0,ratio-93,Penn State University,Penza State University,
1,high,University of Maryland,University of Maryland,
2,not changed,UNC Kenan-Flagler Business School,UNC Kenan-Flagler Business School,
3,token-100,UCL,"Birkbeck College, University of London",
4,token-100,UC Berkeley School of Information,"University of California, Berkeley",
5,token-100,UCLA Anderson School of Management,Anderson University,
6,not changed,David Geffen School of Medicine at UCLA,David Geffen School of Medicine at UCLA,
7,high,UNSW,University of New South Wales,
8,high,University of Kent,University of Kent,
9,not changed,University of Michigan Medical/Graduate School,University of Michigan Medical/Graduate School,
10,high,University of Oxford (Lincoln College),University of Oxford,(lincoln college)
11,high,Queen Mary University of London,Queen Mary University of London,
12,high,Rutgers University–New Brunswick,Rutgers University,
13,high,Pierre and Marie Curie University,IE University,
14,token-100,Maastricht University School of Business and Economics,University of Maastricht,
15,partial-97,University of California Los Angeles (Anderson School),"University of California, Los Angeles",
16,not changed,University of Michigan School of Public Health,University of Michigan School of Public Health,
17,not changed,UT Health San Antonio,UT Health San Antonio,
18,high,HKUST Business School,University of Science and Technology,business school
