,name,best_ratio_match,best_ratio,best_partial_ratio_match,best_partial_ratio,best_token_sort_ratio_match,best_token_sort_ratio
0,Arizona State University,Arizona State University,100,Arizona State University,100,Arizona State University,100
1,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,100,Hong Kong University of Science and Technology,100,Hong Kong University of Science and Technology,100
2,Seoul National University,Seoul National University,100,National University,100,National University,100
3,University Of Chicago,University of Chicago,100,Loyola University of Chicago,100,Finch University of Health Sciences - The Chicago Medical School,100
4,Yale University,Yale University,100,Yale University,100,Yale University,100
5,Yonsei University,Yonsei University,100,Yonsei University,100,Yonsei University,100
6,London School of Economics,Delhi School of Economics,82,London School of Economics and Political Science,100,London School of Economics and Political Science,100
7,University Of Virginia,University of Virginia,100,University of Virginia,100,University of Northern Virginia,100
8,Tsinghua University,Tsinghua University,100,Tsinghua University,100,Tsinghua University,100
9,Nanjing University,Nanjing University,100,Nanjing University,100,China Pharmaceutical University Nanjing,100
10,University Of International Business & Economics,University of International Business and Economics,96,University of International Business,100,University of International Business and Economics,100
11,University Of Michigan--Ann Arbor,University of Michigan - Dearborn,88,University of Michigan,100,University of Michigan,100
12,Sarah Lawrence College,Sarah Lawrence College,100,Sarah Lawrence College,100,Sarah Lawrence College,100
13,Grove City College,Grove City College,100,Grove City College,100,Grove City College,100
14,Wittenberg University,Wittenberg University,100,Wittenberg University,100,Wittenberg University,100
15,University Of Tulsa,University of Tulsa,100,University of Tulsa,100,University of Tulsa,100
16,Wuhan University,Wuhan University,100,Wuhan University,100,China University of Geosciences Wuhan,100
17,Universidade Catolica Portuguesa,Universidade Catolica Portuguesa,100,Universidade Catolica Portuguesa,100,Universidade Catolica Portuguesa,100
18,Sharif University Of Technology,Sharif University of Technology,100,Sharif University of Technology,100,Sharif University of Technology,100
19,University Of Sydney,University of Sydney,100,University of Sydney,100,University of Sydney,100
20,Peking University,Peking University,100,Peking University,100,Peking University,100
21,New York University,New York University,100,New York University,100,City University of New York,100
22,State University Of New York At Stony Brook,State University of New York at Stony Brook,100,State University of New York at Stony Brook,100,New York University,100
23,Delhi University,Adelphi University,94,Adelphi University,94,University of Delhi,100
24,University Of Pennsylvania,University of Pennsylvania,100,Bloomsburg University of Pennsylvania,100,Bloomsburg University of Pennsylvania,100
25,"University Of California, Los Angeles","University of California, Los Angeles",100,"University of California, Los Angeles",100,"University of California, Los Angeles",100
26,Grinnell College,Grinnell College,100,Grinnell College,100,Grinnell College,100
27,Universidad De Guadalajara,Universidad de Guadalajara,100,Universidad de Guadalajara,100,Universidad Autónoma de Guadalajara,100
28,Hautes Etudes Commerciales-Liege,Hautes Etudes Commerciales-Liege,100,Hautes Etudes Commerciales-Liege,100,Hautes Etudes Commerciales-Liege,100
29,Nankai University,Nankai University,100,Nankai University,100,Nankai University,100
30,University Of Texas At Austin,University of Texas at Dallas,86,University of Texas,100,University of Texas,100
31,University Of Alabama at Birmingham,University of Alabama - Birmingham,96,University of Alabama - Birmingham,94,University of Alabama - Birmingham,100
32,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,86,University of Commerce Luigi Bocconi,86,University of Commerce Luigi Bocconi,89
33,Lady Shri Ram College For Women,Lady Shri Ram College For Women,100,Lady Shri Ram College For Women,100,Lady Shri Ram College For Women,100
34,University Of Wisconsin-Madison,University of Wisconsin - Madison,97,University of Wisconsin - Madison,94,University of Wisconsin - Madison,100
35,Columbia University,Columbia University,100,Barnard College - Columbia University,100,Barnard College - Columbia University,100
36,Princeton University,Princeton University,100,Princeton University,100,Princeton University,100
37,Middlebury College,Middlebury College,100,Middlebury College,100,Middlebury College,100
38,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,92,Instituto Tecnológico Autonómo de México,92,Instituto Tecnológico Autonómo de México,96
39,Georgetown University,Georgetown University,100,Georgetown University,100,Georgetown University,100
40,Colby College,Colby College,100,Colby College,100,Colby College,100
41,Mount Holyoke College,Mount Holyoke College,100,Mount Holyoke College,100,Mount Holyoke College,100
42,Yazd University,Yazd University,100,Yazd University,100,"Islamic Azad University, Yazd",100
43,University Of Hong Kong,University of Hong Kong,100,Chinese University of Hong Kong,100,Chinese University of Hong Kong,100
44,Harvard University,Harvard University,100,Harvard University,100,Harvard University,100
45,Stanford University,Stanford University,100,Stanford University,100,Stanford University,100
46,The Chinese Univ. of Hong Kong,Chinese University of Hong Kong,88,Chinese University of Hong Kong,77,Chinese University of Hong Kong,89
47,Universidad Nacional De Colombia,Universidad Nacional de Colombia,100,Universidad Nacional de Colombia,100,Universidad Nacional de Colombia,100
48,State University - Higher School of Economics,Higher School of Economics,73,Higher School of Economics,100,Higher School of Economics,100
49,Morehouse College,Morehouse College,100,Morehouse College,100,Morehouse College,100
50,Covenant University,Covenant University,100,Covenant University,100,Covenant University,100
51,Vilnius Gediminas Technical University,Vilnius Gediminas Technical University,100,Vilnius Gediminas Technical University,100,Vilnius Gediminas Technical University,100
52,Ivan Franko National University of Lviv,Ivano-Frankivsk National University of Oli and Gas,79,National University,100,National University,100
53,University Of Tehran,University of Tehran,100,University of Tehran,100,Iran University of Science and Technology Tehran,100
54,Colorado State University,Colorado State University,100,Colorado State University,100,Colorado State University,100
55,Cornell University,Cornell University,100,Cornell University,100,Cornell University,100
56,University Of Warwick,University of Warwick,100,University of Warwick,100,University of Warwick,100
57,Fudan University,Fudan University,100,Fudan University,100,Fudan University,100
58,Liaoning Normal University,Liaoning Normal University,100,Liaoning Normal University,100,Liaoning Normal University,100
59,University of London-London School of Economics & Political Sci,London School of Economics and Political Science,74,University of London,100,University of London,100
60,Macalester College,Macalester College,100,Macalester College,100,Macalester College,100
61,Soka University,Soka University,100,Soka University of America,100,Soka University of America,100
62,Ohio State University,Ohio State University,100,Ohio State University,100,Ohio State University,100
63,Brandeis University,Brandeis University,100,Brandeis University,100,Brandeis University,100
64,ITAM,AISTEDA,55,Hokkaigakuen University of Kitami,100,AISTEDA,55
65,Chinese University Of Hong Kong,Chinese University of Hong Kong,100,Chinese University of Hong Kong,100,Chinese University of Hong Kong,100
66,University Of Southern California,University of Southern California,100,University of Southern California,100,University of Southern California,100
67,Korea University,Korea University,100,Korea University,100,Korea University,100
68,Reed College,Reed College,100,Reed College,100,Reed College,100
69,Budapesti Corvinus Egyetem,Budapesti Corvinus Egyetem,100,Budapesti Corvinus Egyetem,100,Budapesti Corvinus Egyetem,100
70,University Of Delhi,University of Delhi,100,University of Delhi,100,University of Delhi,100
71,University College London,University College London,100,University College London,100,"Birkbeck College, University of London",100
72,Universidad Pompeu Fabra,Universitat Pompeu Fabra,92,Universitat Pompeu Fabra,92,Universitat Pompeu Fabra,92
73,Oberlin College,Oberlin College,100,Oberlin College,100,Oberlin College,100
74,Russian-Armenian (Slavonic) University,Russian-Armenian (Slavonic) State University,93,ICI University,93,Russian-Armenian (Slavonic) State University,100
75,Universita Degli Studi Di Torino,Universita Degli Studi Di Trieste,89,Universita Degli Studi Di Trieste,91,Universita Degli Studi Di Trieste,89
76,Williams College,Williams College,100,Williams College,100,Williams Baptist College,100
77,Claremont McKenna College,Claremont McKenna College,100,Claremont McKenna College,100,Claremont McKenna College,100
78,University Of Missouri--Columbia,University of Missouri - Columbia,95,University of Missouri - Columbia,94,Columbia University,100
79,Smith College,Smith College,100,Hobart and William Smith Colleges,100,Philander Smith College,100
80,Bogazici University,Bogazici University,100,ICI University,100,Bogazici University,100
81,National Chengchi University,National Chengchi University,100,National Chengchi University,100,National University,100
82,"Rutgers, The State University Of New Jersey","Rutgers, The State University of New Jersey - Camden",91,"Rutgers, The State University of New Jersey - Camden",100,Rutgers University,100
83,Renmin University of China,Renmin University of China,100,Renmin University of China,100,Renmin University of China,100
84,University of St. Gallen,University of St. Gallen,100,University of St. Gallen,100,University of St. Gallen,100
85,University Of Tokyo,University of Tokyo,100,Science University of Tokyo,100,Science University of Tokyo,100
86,Massachusetts Institute of Technology,Massachusetts Institute of Technology,100,Massachusetts Institute of Technology,100,Massachusetts Institute of Technology,100
87,National Taipei University,National Taipei University,100,National Taipei University,100,National University,100
88,Brown University,Brown University,100,Brown University,100,Brown University,100
89,North Carolina State University At Raleigh,North Carolina State University,85,North Carolina State University,100,North Carolina State University,100
90,Universitat Bern,Universität Bremen,82,Universitat Oberta de Catalunya,94,Berne University,88
91,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,100,University of Illinois,100,University of Illinois,100
92,Southern Methodist University,Southern Methodist University,100,Southern Methodist University,100,Southern Methodist University,100
93,Carnegie Mellon University,Carnegie Mellon University,100,Carnegie Mellon University,100,Carnegie Mellon University,100
94,University Of The Phillippines,University of Northern Philippines,91,Adventist University of the Philippines,98,University of the Philippines Open University,91
95,University Of Florida,University of Florida,100,University of Florida,100,Florida University of Medicine,100
96,University Of Cambridge-Queen's College,University of King's College,78,University of Cambridge,100,Cambridge College,100
97,Universite Catholique de Louvain,Université Catholique de Louvain,97,Université Catholique de Louvain,97,Université Catholique de Louvain,98
98,Sharif University of Technology,Sharif University of Technology,100,Sharif University of Technology,100,Sharif University of Technology,100
99,"University Of California, Davis","University of California, Davis",100,"University of California, Davis",100,"University of California, Davis",100
100,University Of Maryland At College Park,University of Maryland University College,81,University of Maryland,100,Park College,100
101,Allegheny College,Allegheny College,100,Allegheny College,100,Allegheny College,100
102,University Of Washington,University of Washington,100,University of Washington,100,University of Northern Washington,100
103,University Of Amsterdam,University of Amsterdam,100,University of Amsterdam,100,University of Amsterdam,100
104,"St. Xavier's College, Kolkata","St. Xavier's College, Kolkata",100,"St. Xavier's College, Kolkata",100,"St. Xavier's College, Kolkata",100
105,University Of British Columbia,University of British Columbia,100,University of British Columbia,100,Columbia University,100
106,Boston College,Boston College,100,Boston College,100,Boston College,100
107,Nanyang Technological University,Nanyang Technological University,100,Nanyang Technological University,100,Nanyang Technological University,100
108,University Of Cambridge-Wolfson College,University of King's College,75,University of Cambridge,100,Cambridge College,100
109,University Pantheon Assas (paris Ii),Université Panthéon-Assas (Paris II),92,Université Panthéon-Assas (Paris II),92,Université Panthéon-Assas (Paris II),97
110,Universidad De Chile,Universidad de Chile,100,Universidad de Chile,100,Pontificia Universidad Catolica de Chile,100
111,University Of Copenhagen,IT University of Copenhagen,94,IT University of Copenhagen,100,Copenhagen University,100
112,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,100,Pontificia Universidad Javeriana,100,Pontificia Universidad Javeriana,100
113,Wellesley College,Wellesley College,100,Wellesley College,100,Wellesley College,100
114,Beijing Normal University,Beijing Normal University,100,Beijing Normal University,100,Beijing Normal University,100
115,Harbin Normal University,Harbin Normal University,100,Harbin Normal University,100,Harbin Normal University,100
116,Ecole Nationale de la Statistique et de l'Admin Economique,Ecole Nationale de la Statistique et de l'Administration Economique,93,Ecole Nationale de la Statistique et de l'Administration Economique,86,Ecole Nationale de la Statistique et de l'Administration Economique,94
117,Universita Degli Studi Di Padova,Universita Degli Studi Di Trieste,80,Universita Degli Studi Di Trieste,81,Universita Degli Studi Di Trieste,88
118,Sri Sathya Sai Institute of Higher Learning,Sri Sathya Sai Institute of Higher Learning,100,Sri Sathya Sai Institute of Higher Learning,100,Sri Sathya Sai Institute of Higher Learning,100
119,Miami University,Misamis University,94,Miami University of Ohio,100,Miami University of Ohio,100
120,University Of Cambridge-Corpus Christi College,University of Maryland University College,69,University of Cambridge,100,Cambridge College,100
121,Yerevan State University,Yerevan State University,100,Yerevan State University,100,Yerevan State Medical University,100
122,Zhejiang University,Zhejiang University,100,Zhejiang University,100,Zhejiang Forestry University,100
123,Harvard College,Holar University College,88,Harvard University,100,Harvard University,100
124,Johns Hopkins University,Johns Hopkins University,100,Johns Hopkins University,100,Johns Hopkins University,100
125,Elmira College,Elmira College,100,Elmira College,100,Elmira College,100
126,Washington University in St. Louis,Washington University in St. Louis,100,Washington University in St. Louis,100,St. Louis University,100
127,Universidad De Los Andes,Universidad de Los Andes,100,Universidad de Los Andes,100,Universidad Los Andes,100
128,Shanghai Institute Of Foreign Trade,Shanghai Institue of Foreign Trade,99,Shanghai Institue of Foreign Trade,97,Shanghai Institue of Foreign Trade,99
129,"Wimbledon School of Art, University of Surrey",Wimbledon School of Art,68,University of Surrey,100,University of Surrey,100
130,Clark University,Clark University,100,Clark University,100,Clark Atlanta University,100
131,Brigham Young University,Brigham Young University,100,Brigham Young University - Idaho,100,Brigham Young University - Idaho,100
132,Universidad De San Andres,Universidad de San Andres,100,Universidad de San Andres,100,Universidad de San Andres,100
133,Sun Yat-Sen University,Osun State University,84,Sun Yat-Sen University of Medical Sciences,100,Sun Yat-Sen University of Medical Sciences,100
134,"School of Liberal Studies, PDPU","School of Liberal Studies, PDPU",100,"School of Liberal Studies, PDPU",100,"School of Liberal Studies, PDPU",100
135,Duke University,Duke University,100,Duke University,100,Duke University,100
136,"Hochschule fur Wirtschafts-, Rechts- und Sozialwissenschaften",Fachhochschule für Technik und Wirtschaft Berlin,61,Hochschule Fulda,81,Hochschule Fulda,77
137,Universidad Nacional De Cordoba,Universidad Nacional de Córdoba,97,Universidad Nacional,100,Universidad Nacional,100
138,"University Of California, Santa Barbara","University of California, Santa Barbara",100,"University of California, Santa Barbara",100,"University of California, Santa Barbara",100
139,University Of New South Wales,University of New South Wales,100,University of New South Wales,100,University of New South Wales,100
140,McGill University,McGill University,100,McGill University,100,McGill University,100
141,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux,82,Institut d'Etudes Politiques de Bordeaux,100,Institut d'Etudes Politiques de Bordeaux,100
142,Pennsylvania State University,Pennsylvania State University,100,Pennsylvania State University,100,Pennsylvania State University,100
143,Trinity College,Trinity Bible College,83,Trinity College Connecticut,100,Trinity Bible College,100
144,Indiana University Bloomington,Indiana University at Bloomington,95,Indian University,94,Indiana University at Bloomington,100
145,Universidad ORT Uruguay,Universidad ORT Uruguay,100,Universidad ORT Uruguay,100,Universidad ORT Uruguay,100
146,Instituto Torcuato Di Tella,Universidad Torcuato di Tella,75,Universidad Torcuato di Tella,78,Universidad Torcuato di Tella,77
147,University Of Sao Paulo,University of San Carlos,85,University of Pisa,89,University of Pula,88
148,Washington And Lee University,Washington and Lee University,100,Lee University,100,Lee University,100
149,University Of Vermont and State Agricultural College,Nova Scotia Agricultural College,69,University of Vermont,100,University of Vermont,100
150,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico,Instituto Tecnológico Autonómo de México,87,Instituto Tecnológico Autonómo de México,82,Instituto Tecnológico Autonómo de México,97
151,University Of Rochester,University of Rochester,100,University of Rochester,100,University of Rochester,100
152,University Of Pune,University of Pune,100,University of Pune,100,University of Pune,100
153,Kobe University,Kobe University,100,Kobe University,100,Kobe City University of ForeignStudies,100
154,Villanova University,Villanova University,100,Villanova University,100,Villanova University,100
155,Thammasat University,Thammasat University,100,Thammasat University,100,Thammasat University,100
156,Renmin University Of China In Beijing,Renmin University of China,83,Renmin University of China,100,Renmin University of China,100
157,University Of Nebraska,University of Kerala,86,University of Nebraska - Kearney,100,University of Nebraska - Kearney,100
158,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid,100,Universidad Carlos III de Madrid,100,Universidad Carlos III de Madrid,100
159,University Of New Mexico,University of New Mexico,100,University of New Mexico,100,University of New Mexico,100
160,Goethe University,Botho University,85,Johann Wolfgang Goethe Universität Frankfurt am Main,94,IE University,87
161,Lahore University Of Management Sciences,Lahore University of Management Sciences,100,Lahore University of Management Sciences,100,Lahore University of Management Sciences,100
162,University Of Montreal,University of Montevallo,91,University of Montevallo,95,University of Montevallo,91
163,Technische Universitat Munchen,Technische Universität München,93,Technische Universität München,93,Technische Universität München,97
164,University Of Iowa,University of Iowa,100,University of Iowa,100,Iowa State University of Science and Technology,100
165,Tufts University,Tufts University,100,Tufts University,100,Tufts University,100
166,Southwest University Of Finance & Economics,Southwest University of Finance and Economics,95,Southwest University,100,Southwest University,100
167,Indiana Wesleyan University,Indiana Wesleyan University,100,Indiana Wesleyan University,100,Indiana Wesleyan University,100
168,Ural Federal University,Alfred University,80,DePaul University,91,Federal University of Petroleum Resources,88
169,Universidad Nacional De Cuyo,Universidad Nacional de Cuyo,100,Universidad Nacional de Cuyo,100,Universidad Nacional de Cuyo,100
170,Tel Aviv University,Tel Aviv University,100,Tel Aviv University,100,Tel Aviv University,100
171,National University Of Singapore,National University of Singapore,100,National University,100,National University,100
172,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,100,Rensselaer Polytechnic Institute,100,Rensselaer Polytechnic Institute,100
173,Case Western Reserve University,Case Western Reserve University,100,Case Western Reserve University,100,Case Western Reserve University,100
174,University Of St Andrews,University of St. Andrews,98,University of St. Andrews,96,Andrews University,100
175,Universita Bocconi,Università Bocconi,94,Università Bocconi,94,Università Bocconi,97
176,Singapore Management University,Singapore Management University,100,Singapore Management University,100,Singapore Management University,100
177,Universite De Lausanne,University of Lausanne,86,University of Lausanne,86,University of Lausanne,86
178,"University Of California, Berkeley","University of California, Berkeley",100,"University of California, Berkeley",100,"University of California, Berkeley",100
179,Millsaps College,Millsaps College,100,Millsaps College,100,Millsaps College,100
180,Calvin College,Calvin College,100,Calvin College,100,Calvin College,100
181,St Xavier's College,St. Peter's College,79,"St. Xavier's College, Kolkata",95,"St. Xavier's College, Kolkata",100
182,Xiamen University,Xiamen University,100,Xiamen University,100,Xiamen University,100
183,City University Of Hong Kong,City University of Hong Kong,100,City University,100,City University,100
184,George Mason University,George Mason University,100,George Mason University,100,George Mason University,100
185,Korea Advanced Institute Of Science And Technology,Korea Advanced Institute of Science & Technology,96,Institute of Science and Technology,100,Institute of Science and Technology,100
186,University Of Kansas,University of Kansas,100,University of Kansas,100,University of Kansas,100
187,National Research University Higher School of Economics,National Research University of Electronic Technology,70,Higher School of Economics,100,National University,100
188,Central University Of Finance And Economics,Central University of Finance and Economics,100,Central University of Finance and Economics,100,Central University of Finance and Economics,100
189,Indian Institute of Technology,Indiana Institute of Technologyy,97,"Indian Institute of Technology, Bombay",100,Indian Institute of Information Technology,100
190,University Of Michigan--Dearborn,University of Michigan - Dearborn,95,University of Michigan,100,University of Michigan,100
191,University of San Francisco,University of San Francisco,100,University of San Francisco,100,"University of California, San Francisco",100
192,University Of Adelaide,University of Adelaide,100,University of Adelaide,100,University of Adelaide,100
193,Instituto Tecnologico y de Estudios Superiores de Monterrey,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),92,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),98,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),94
194,University of Dhaka,University of Dhaka,100,University of Dhaka,100,Dhaka University of Engineering and Technology,100
195,Erasmus University,Rush University,85,Erasmus University Rotterdam,100,Erasmus University Rotterdam,100
196,Universita Degli Studi Roma Tre,Universita Degli Studi Di Trieste,84,Universita Degli Studi Di Trieste,87,Universita Degli Studi Di Trieste,84
197,Vanderbilt University,Vanderbilt University,100,Vanderbilt University,100,Vanderbilt University,100
198,"University of Delhi, Hansraj College",University of King's College,78,University of Delhi,100,University of Delhi,100
199,Swarthmore College,Swarthmore College,100,Swarthmore College,100,Swarthmore College,100
200,Universidad Nacional Autonoma De Mexico,Universidad Nacional Autónoma de México,95,Universidad Nacional,100,Universidad Nacional,100
201,National Chung Hsing University,National Chung Cheng University,94,"National Chung Hsing University, Taichung",100,National University,100
202,Universidade Nova De Lisboa,Universidade Nova de Lisboa,100,Universidade Nova de Lisboa,100,Universidade de Lisboa,100
203,Universidad de Piura,Universidad de Piura,100,Universidad de Piura,100,Universidad de Piura,100
204,Wabash College,Wabash College,100,Wabash College,100,Wabash College,100
205,Kazakh National University,Kharkiv National University,87,National University,100,National University,100
206,Utrecht University,Utrecht University,100,Utrecht University,100,Utrecht University,100
207,American University Of Beirut,American University of Beirut,100,American University,100,American University,100
208,National Insitute for Lifelong Education,National Institute for Lifelong Education,99,National Institute for Lifelong Education,98,National Institute for Lifelong Education,99
209,National Taiwan University,National Taiwan University,100,National Taiwan University,100,National University,100
210,Tilburg University,Tilburg University,100,Tilburg University,100,Tilburg University,100
