,newid,Undergrad School,Undergrad School_updated,Master's Degree School,Master's Degree School_updated
0,277756,Arizona State University,Arizona State University,Georgetown University,Georgetown University
1,138887,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,University Of Oxford,University of Oxford
2,43892,Seoul National University,Seoul National University,Seoul National University,Seoul National University
3,948565,University Of Chicago,University of Chicago,,
4,14018,Yale University,Yale University,,
5,512242,Yonsei University,Yonsei University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
6,781176,London School of Economics,London School of Economics and Political Science,London School of Economics,London School of Economics and Political Science
7,904219,University Of Virginia,University of Virginia,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
8,328878,Tsinghua University,Tsinghua University,University Of Wisconsin-Madison,University of Wisconsin - Madison
9,519707,Nanjing University,Nanjing University,Shanghai Jiao Tong University,Shanghai Jiaotong University
10,501226,University Of International Business & Economics,University of International Business and Economics,University Of Oxford,University of Oxford
11,274494,University Of Michigan--Ann Arbor,University of Michigan,,
12,54499,Sarah Lawrence College,Sarah Lawrence College,Columbia University,Columbia University
13,88872,Grove City College,Grove City College,,
14,895004,Wittenberg University,Wittenberg University,,
15,610791,University Of Tulsa,University of Tulsa,,
16,710454,Wuhan University,Wuhan University,Iowa State University of Science and Technology,Iowa State University of Science and Technology
17,873445,Universidade Catolica Portuguesa,Universidade Catolica Portuguesa,Pont Univ of the Holy Cross,College of the Holy Cross
18,629741,Sharif University Of Technology,Sharif University of Technology,Sharif University Of Technology,Sharif University of Technology
19,541031,University Of Sydney,University of Sydney,,
20,654231,Peking University,Peking University,Renmin University Of China In Beijing,Renmin University of China
21,675773,New York University,New York University,,
22,472606,State University Of New York At Stony Brook,State University of New York at Stony Brook,Columbia University,Columbia University
23,15374,Delhi University,University of Delhi,Delhi School of Economics,Delhi School of Economics
24,716358,University Of Pennsylvania,University of Pennsylvania,,
25,476904,"University Of California, Los Angeles","University of California, Los Angeles",Tufts University,Tufts University
26,688858,Grinnell College,Grinnell College,Harvard University,Harvard University
27,446511,Universidad De Guadalajara,Universidad de Guadalajara,El Colegio De Mexico,El Colegio de México
28,188335,Hautes Etudes Commerciales-Liege,Hautes Etudes Commerciales-Liege,Universite Catholique de Louvain,Université Catholique de Louvain
29,829115,University Of Chicago,University of Chicago,,
30,692009,Nankai University,Nankai University,Tufts University,Tufts University
31,432600,University Of Virginia,University of Virginia,,
32,122385,University Of Texas At Austin,University of Texas,,
