,newid,Institution of highest degree obtained,name
0,66300,"University of California, Los Angeles","University of California, Los Angeles"
1,294827,-,
2,865258,Technical University Munich,Technical University Munich
3,278037,University of Wisconsin-Madison,University of Wisconsin - Madison
4,648466,Stanford University,Stanford University
5,743515,-,
6,897398,-,
7,521898,University of Michigan,University of Michigan
8,29,"University of California, Davis","University of California, Davis"
9,801516,Texas A&M University,Texas A&M University
10,297944,Toulouse School of Economics,Toulouse School of Economics
11,85527,Boston University,Boston University
12,626868,-,
13,655958,-,
14,98708,Florida State University,Florida State University
15,26618,Graduate Institute of International and Development Studies,Graduate Institute of International and Development Studies
16,193814,Carnegie Mellon University,Carnegie Mellon University
17,620363,"University of California, Davis","University of California, Davis"
18,841306,"University of California, Berkeley","University of California, Berkeley"
19,271977,Yale University,Yale University
20,820403,Humboldt-Universität zu Berlin,Humboldt Universität Berlin
21,82228,Sharif University of Technology,Sharif University of Technology
22,274056,Yale University,Yale University
23,625448,University of Oxford,University of Oxford
24,546575,Harvard University,Harvard University
25,451599,University of Chicago,University of Chicago
26,260582,University of Oxford,University of Oxford
27,15527,-,
28,200684,-,
29,447652,Penn State University,Pennsylvania State University
30,885441,The University of Texas at Austin,University of Texas
31,271279,Columbia University in the City of New York,Columbia University
32,243030,"University of California, Santa Barbara","University of California, Santa Barbara"
33,185333,-,
34,66695,-,
35,417699,Northwestern University,Northwestern University
36,647625,European University Institute,European University Institute
37,655031,University of Minnesota-Twin Cities,University of Minnesota
38,323116,The University of Texas at Austin,University of Texas
39,792887,Yale University,Yale University
40,220417,Columbia University in the City of New York,Columbia University
41,586826,-,
42,285425,University of Michigan,University of Michigan
43,413040,"University of California, Irvine","University of California, Irvine"
44,125487,Ecole polytechnique fédérale de Lausanne,Ecole polytechnique fédérale de Lausanne
45,93026,-,
46,150006,American University,American University
47,804352,University of Wisconsin-Madison,University of Wisconsin - Madison
48,262614,University of Wisconsin-Madison,University of Wisconsin - Madison
49,491981,University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
50,319936,The University of Chicago,University of Chicago
51,485045,The Ohio State University,Ohio State University
52,706150,-,
53,994950,UC San Diego,"University of California, San Diego"
54,214884,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
55,980134,University of Arizona,University of Arizona
56,74233,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,University of Illinois at Urbana-Champaign
57,636970,-,
58,433327,Yale University,Yale University
59,451093,University of Wisconsin-Madison,University of Wisconsin - Madison
